"FOLIO","P1_1","P1_2_1","P1_2_2","P1_3","P1_4_1","P1_4_2","P1_4_3","P1_4_4","P1_4_5","P1_4_6","P1_5","P4_1_1","P4_1_2","P4_1_3","ENT","FACTOR"
"00009379","03","02","01","1","2","1","1","2","1","1","","3","2","4","17",494
"00009380","02","02","00","2","","","","","","","","","","","15",5026
"00009381","01","00","01","2","","","","","","","","","","","03",433
"00009382","03","00","03","1","2","1","1","1","1","1","","1","1","1","16",1423
"00009383","04","02","02","1","1","1","1","1","1","1","","1","1","1","26",645
"00009384","11","07","04","1","2","1","1","1","1","1","","1","1","3","24",6670
"00009385","01","01","00","2","","","","","","","","","","","16",1938
"00009386","04","03","01","1","1","1","1","2","1","1","","1","1","1","23",672
"00009387","02","01","01","1","1","2","1","1","1","1","","1","1","2","09",7315
"00009388","04","02","02","1","2","1","1","2","1","1","","1","1","2","06",225
"00009389","02","01","01","2","","","","","","","","","","","12",839
"00009390","04","04","00","1","2","1","1","1","1","1","","1","1","1","27",618
"00009391","03","02","01","1","1","1","1","1","2","1","","1","1","1","05",1431
"00009392","02","01","01","2","","","","","","","","","","","01",441
"00009393","02","01","01","1","1","1","1","1","1","1","","1","1","1","24",1236
"00009394","03","02","01","1","2","1","1","2","1","1","","1","1","1","26",871
"00009395","02","01","01","2","","","","","","","","","","","02",1154
"00009396","06","03","03","1","2","2","2","2","1","2","01","2","2","1","20",1139
"00009397","02","01","01","2","","","","","","","","","","","32",324
"00009398","04","01","03","1","2","2","1","2","1","2","06","1","1","1","18",458
"00009399","07","01","06","1","2","2","1","1","1","1","","1","1","4","07",1102
"00009400","01","01","00","2","","","","","","","","","","","22",1467
"00009401","02","01","01","2","","","","","","","","","","","14",3074
"00009402","09","04","05","1","2","2","1","1","1","1","","1","1","1","16",533
"00009403","04","00","04","1","1","1","1","2","1","1","","1","1","1","07",786
"00009404","03","00","03","1","2","2","2","2","1","2","01","1","1","1","30",5000
"00009405","04","02","02","1","2","2","2","2","1","1","","3","3","1","16",1216
"00009406","05","03","02","1","2","2","1","2","1","2","09","1","2","1","10",2456
"00009407","04","02","02","1","1","2","1","2","1","1","","1","1","2","21",1505
"00009408","08","04","04","1","2","2","1","2","1","1","","1","1","1","09",2957
"00009409","03","02","01","2","","","","","","","","","","","06",166
